ID,Task,Type,Interface,Start time,End time,Time diff,Correctness,Type of answer
12,1,A1,Baseline,3:37:18,3:40:55,0:03:37,incorrect,diff
12,2,C1,Hansel,3:41:35,3:43:10,0:01:35,incorrect,same
12,3,D1,Baseline,3:43:47,3:46:53,0:03:06,incorrect,diff
12,4,A2,Hansel,3:47:28,3:49:39,0:02:11,correct,same
12,5,B1,Baseline,3:50:00,3:53:02,0:03:02,incorrect,diff
12,6,D2,Hansel,3:53:40,3:55:41,0:02:01,incorrect,diff
12,7,C2,Baseline,3:56:28,3:57:58,0:01:30,correct,diff
12,8,B2,Hansel,3:58:14,4:00:01,0:01:47,correct,same
13,1,A1,Baseline,4:59:20,5:02:54,0:03:34,correct,same
13,2,C1,Hansel,5:03:10,5:07:30,0:04:20,correct,diff
13,3,D1,Baseline,5:07:45,5:10:05,0:02:20,correct,diff
13,4,A2,Hansel,5:10:56,5:14:00,0:03:04,correct,same
13,5,B1,Baseline,5:14:20,5:19:20,0:05:00,correct,same
13,6,D2,Hansel,5:19:38,5:24:15,0:04:37,incorrect,same
13,7,C2,Baseline,5:24:24,5:25:59,0:01:35,correct,diff
13,8,B2,Hansel,5:26:29,5:27:23,0:00:54,correct,same
14,1,A1,Baseline,8:08:09,8:11:39,0:03:30,correct,same
14,2,C1,Hansel,8:12:24,8:13:58,0:01:34,correct,diff
14,3,D1,Baseline,8:14:32,8:17:00,0:02:28,correct,diff
14,4,A2,Hansel,8:17:54,8:21:06,0:03:12,correct,same
14,5,B1,Baseline,8:21:22,8:24:45,0:03:23,correct,same
14,6,D2,Hansel,8:25:24,8:27:56,0:02:32,correct,diff
14,7,C2,Baseline,8:28:09,8:31:00,0:02:51,correct,diff
14,8,B2,Hansel,8:31:40,8:32:59,0:01:19,correct,same
